"","AhR","CARPXR","DNADMG"
"Significant genes count","1392","3503","114"
"1st","NM_013096","NM_053288","NM_033234"
"2nd","NM_033234","NM_001108693","NM_001007722"
"3rd","NM_001007722","NM_001130558","NM_198776"
"4th","NM_001257095","NM_001134844","NM_001111269"
"5th","NM_001008880","NM_080581","NM_013096"
"6th","NM_001130558","NM_013033","NM_012623"
"7th","NM_012540","NM_053699","NM_199113"
"8th","NM_198776","NM_024127","NM_001107084"
"9th","NM_012541","NM_031048","NM_001113223"
"10th","NM_130407","NM_013098","NM_001013057"
