"","geneid","SRR1177981","SRR1177982","SRR1177983","SRR1178008","SRR1178009","SRR1178010","SRR1178014","SRR1178021","SRR1178047"
"1","NM_001270655","0","0","0","0","0","0","0","0","0"
"2","NM_001270656","0","0","0","0","0","0","0","0","0"
"3","NM_019248","0","0","0","0","0","0","0","0","0"
"4","NM_017065","0","0","0","0","0","0","2","0","0"
"5","NM_031069","0","2","2","0","0","0","0","0","0"
"6","NM_001008368","1071","1419","1079","1113","1254","1201","1532","1660","1785"
"7","NM_001106284","4","12","4","8","10","4","28","46","41"
"8","NM_001039611","262","251","236","279","346","418","518","682","735"
"9","NM_001012742","144","133","139","74","249","122","254","436","826"
"10","NM_001105731","4","2","9","11","10","3","10","1","8"
"11","NM_001024899","28","28","34","43","34","46","48","52","81"
"12","NM_001107611","2","14","34","0","2","4","9","2","3"
"13","NM_013070","622","654","722","872","488","775","824","1102","1049"
"14","NM_001108458","8","10","10","19","9","16","14","8","27"
"15","NM_001107515","28","12","16","30","33","32","186","266","283"
"16","NM_080894","29","20","12","42","6","27","18","32","18"
"17","NM_001039722","0","0","0","0","0","0","0","0","0"
"18","NM_001190999","51","51","67","66","50","52","126","144","149"
"19","NM_001038601","0","0","0","0","0","0","0","0","0"
"20","NM_012689","62","39","62","51","56","17","76","82","90"
"21","NR_027877","0","0","0","0","0","0","0","0","0"
"22","NM_001038600","0","0","0","0","0","0","0","0","0"
"23","NM_020093","73","89","109","113","88","44","91","141","132"
"24","NM_001101008","93","72","127","126","189","164","165","209","209"
"25","NM_133406","24","16","32","54","28","60","51","58","78"
"26","NM_001106231","35","10","14","18","29","53","21","26","65"
"27","NM_021677","0","0","0","0","0","0","0","0","0"
"28","NM_017156","3","3","4","2","2","4","17","14","5"
"29","NM_031139","1024","1308","1241","1040","1270","1068","1460","1350","1588"
"30","NM_001099476","0","0","0","0","0","0","0","0","0"
"31","NM_001039037","78","54","48","99","117","103","110","146","277"
"32","NM_053557","166","110","132","203","252","263","642","631","926"
"33","NM_199088","3","2","2","4","2","0","2","4","1"
"34","NM_031013","8753","11940","9507","7976","6934","7003","7424","5090","4577"
"35","NM_001127504","1352","1767","1350","1061","1390","837","2038","1579","2118"
"36","NM_001106268","132","117","106","175","130","221","126","134","196"
"37","NM_001106271","1187","1337","1140","2457","2129","1409","1945","2909","3081"
"38","NM_177481","22","10","16","57","8","43","39","12","10"
"39","NM_031238","215","415","367","325","228","294","216","217","180"
"40","NM_053863","0","4","0","0","0","0","0","6","2"
"41","NM_022282","0","0","0","0","2","0","2","2","0"
"42","NM_001107535","0","0","0","0","0","0","0","0","0"
"43","NM_053554","1392","1366","1682","2113","2645","2174","2493","2918","2913"
"44","NM_001013896","1575","1675","1905","3624","780","833","2813","2121","1810"
"45","NM_001191628","2","0","0","0","2","0","2","16","5"
"46","NM_001107536","329","312","348","445","379","351","400","435","426"
"47","NM_139112","2","0","0","2","0","0","2","0","2"
"48","NM_001024751","85","78","86","233","80","104","125","227","154"
"49","NM_172067","38","20","29","52","17","59","20","33","48"
